"rank" 0 1 2 3 4 5 6 7 8 
0.00000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00009 0.9999 1.0000 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 0.9999 
0.00019 0.9999 0.9999 0.9998 0.9999 0.9998 0.9998 0.9999 0.9999 0.9998 
0.00028 0.9998 0.9999 0.9997 0.9998 0.9997 0.9997 0.9998 0.9998 0.9997 
0.00038 0.9997 0.9998 0.9997 0.9997 0.9996 0.9996 0.9997 0.9998 0.9996 
0.00047 0.9996 0.9998 0.9996 0.9997 0.9996 0.9995 0.9997 0.9997 0.9995 
0.00057 0.9996 0.9998 0.9995 0.9996 0.9995 0.9994 0.9996 0.9997 0.9994 
0.00066 0.9995 0.9997 0.9994 0.9996 0.9994 0.9993 0.9995 0.9996 0.9993 
0.00076 0.9994 0.9997 0.9993 0.9995 0.9993 0.9992 0.9995 0.9995 0.9993 
0.00085 0.9993 0.9996 0.9992 0.9994 0.9992 0.9992 0.9994 0.9995 0.9992 
0.00094 0.9993 0.9996 0.9991 0.9994 0.9991 0.9991 0.9993 0.9994 0.9991 
0.00104 0.9992 0.9995 0.9991 0.9993 0.9990 0.9990 0.9993 0.9994 0.9990 
0.00113 0.9991 0.9995 0.9990 0.9992 0.9989 0.9989 0.9992 0.9993 0.9989 
0.00123 0.9991 0.9995 0.9989 0.9992 0.9988 0.9988 0.9991 0.9993 0.9988 
0.00132 0.9990 0.9994 0.9988 0.9991 0.9987 0.9987 0.9991 0.9992 0.9987 
0.00142 0.9989 0.9994 0.9987 0.9991 0.9987 0.9986 0.9990 0.9991 0.9986 
0.00151 0.9988 0.9993 0.9986 0.9990 0.9986 0.9985 0.9989 0.9991 0.9985 
0.00160 0.9988 0.9993 0.9985 0.9989 0.9985 0.9984 0.9989 0.9990 0.9984 
0.00170 0.9987 0.9993 0.9985 0.9989 0.9984 0.9983 0.9988 0.9990 0.9983 
0.00179 0.9986 0.9992 0.9984 0.9988 0.9983 0.9982 0.9987 0.9989 0.9982 
0.00189 0.9986 0.9992 0.9983 0.9987 0.9982 0.9981 0.9987 0.9989 0.9981 
0.00198 0.9985 0.9991 0.9982 0.9987 0.9981 0.9980 0.9986 0.9988 0.9980 
0.00208 0.9984 0.9991 0.9981 0.9986 0.9980 0.9979 0.9985 0.9987 0.9979 
0.00217 0.9983 0.9991 0.9980 0.9986 0.9979 0.9978 0.9985 0.9987 0.9979 
0.00227 0.9983 0.9990 0.9979 0.9985 0.9978 0.9977 0.9984 0.9986 0.9978 
0.00236 0.9982 0.9990 0.9979 0.9984 0.9978 0.9977 0.9983 0.9986 0.9977 
0.00245 0.9981 0.9989 0.9978 0.9984 0.9977 0.9976 0.9983 0.9985 0.9976 
0.00255 0.9980 0.9989 0.9977 0.9983 0.9976 0.9975 0.9982 0.9985 0.9975 
0.00264 0.9980 0.9988 0.9976 0.9982 0.9975 0.9974 0.9981 0.9984 0.9974 
0.00274 0.9979 0.9988 0.9975 0.9982 0.9974 0.9973 0.9981 0.9983 0.9973 
0.00283 0.9978 0.9988 0.9974 0.9981 0.9973 0.9972 0.9980 0.9983 0.9972 
0.00293 0.9978 0.9987 0.9973 0.9981 0.9972 0.9971 0.9979 0.9982 0.9971 
0.00302 0.9977 0.9987 0.9973 0.9980 0.9971 0.9970 0.9979 0.9982 0.9970 
0.00311 0.9976 0.9986 0.9972 0.9979 0.9970 0.9969 0.9978 0.9981 0.9969 
0.00321 0.9975 0.9986 0.9971 0.9979 0.9970 0.9968 0.9977 0.9981 0.9968 
0.00330 0.9975 0.9986 0.9970 0.9978 0.9969 0.9967 0.9977 0.9980 0.9967 
0.00340 0.9974 0.9985 0.9969 0.9977 0.9968 0.9966 0.9976 0.9979 0.9966 
0.00349 0.9973 0.9985 0.9968 0.9977 0.9967 0.9965 0.9975 0.9979 0.9966 
0.00359 0.9972 0.9984 0.9967 0.9976 0.9966 0.9964 0.9975 0.9978 0.9965 
0.00368 0.9972 0.9984 0.9967 0.9976 0.9965 0.9963 0.9974 0.9978 0.9964 
0.00378 0.9971 0.9984 0.9966 0.9975 0.9964 0.9962 0.9973 0.9977 0.9963 
0.00387 0.9970 0.9983 0.9965 0.9974 0.9963 0.9961 0.9973 0.9977 0.9962 
0.00396 0.9970 0.9983 0.9964 0.9974 0.9962 0.9961 0.9972 0.9976 0.9961 
0.00406 0.9969 0.9982 0.9963 0.9973 0.9961 0.9960 0.9971 0.9975 0.9960 
0.00415 0.9968 0.9982 0.9962 0.9972 0.9961 0.9959 0.9971 0.9975 0.9959 
0.00425 0.9967 0.9981 0.9961 0.9972 0.9960 0.9958 0.9970 0.9974 0.9958 
0.00434 0.9967 0.9981 0.9961 0.9971 0.9959 0.9957 0.9969 0.9974 0.9957 
0.00444 0.9966 0.9981 0.9960 0.9971 0.9958 0.9956 0.9969 0.9973 0.9956 
0.00453 0.9965 0.9980 0.9959 0.9970 0.9957 0.9955 0.9968 0.9973 0.9955 
0.00462 0.9964 0.9980 0.9958 0.9969 0.9956 0.9954 0.9968 0.9972 0.9954 
0.00472 0.9964 0.9979 0.9957 0.9969 0.9955 0.9953 0.9967 0.9971 0.9953 
0.00481 0.9963 0.9979 0.9956 0.9968 0.9954 0.9952 0.9966 0.9971 0.9952 
0.00491 0.9962 0.9979 0.9955 0.9967 0.9953 0.9951 0.9966 0.9970 0.9952 
0.00500 0.9962 0.9978 0.9955 0.9967 0.9952 0.9950 0.9965 0.9970 0.9951 
0.00510 0.9961 0.9978 0.9954 0.9966 0.9952 0.9949 0.9964 0.9969 0.9950 
0.00519 0.9960 0.9977 0.9953 0.9966 0.9951 0.9948 0.9964 0.9969 0.9949 
0.00529 0.9959 0.9977 0.9952 0.9965 0.9950 0.9947 0.9963 0.9968 0.9948 
0.00538 0.9959 0.9977 0.9951 0.9964 0.9949 0.9946 0.9962 0.9967 0.9947 
0.00547 0.9958 0.9976 0.9950 0.9964 0.9948 0.9946 0.9962 0.9967 0.9946 
0.00557 0.9957 0.9976 0.9949 0.9963 0.9947 0.9945 0.9961 0.9966 0.9945 
0.00566 0.9957 0.9975 0.9949 0.9962 0.9946 0.9944 0.9960 0.9966 0.9944 
0.00576 0.9956 0.9975 0.9948 0.9962 0.9945 0.9943 0.9960 0.9965 0.9943 
0.00585 0.9955 0.9975 0.9947 0.9961 0.9944 0.9942 0.9959 0.9965 0.9942 
0.00595 0.9954 0.9974 0.9946 0.9961 0.9944 0.9941 0.9958 0.9964 0.9941 
0.00604 0.9954 0.9974 0.9945 0.9960 0.9943 0.9940 0.9958 0.9963 0.9940 
0.00613 0.9953 0.9973 0.9944 0.9959 0.9942 0.9939 0.9957 0.9963 0.9939 
0.00623 0.9952 0.9973 0.9943 0.9959 0.9941 0.9938 0.9956 0.9962 0.9938 
0.00632 0.9951 0.9972 0.9943 0.9958 0.9940 0.9937 0.9956 0.9962 0.9938 
0.00642 0.9951 0.9972 0.9942 0.9957 0.9939 0.9936 0.9955 0.9961 0.9937 
0.00651 0.9950 0.9972 0.9941 0.9957 0.9938 0.9935 0.9954 0.9960 0.9936 
0.00661 0.9949 0.9971 0.9940 0.9956 0.9937 0.9934 0.9954 0.9960 0.9935 
0.00670 0.9949 0.9971 0.9939 0.9956 0.9936 0.9933 0.9953 0.9959 0.9934 
0.00680 0.9948 0.9970 0.9938 0.9955 0.9935 0.9932 0.9952 0.9959 0.9933 
0.00689 0.9947 0.9970 0.9937 0.9954 0.9935 0.9931 0.9952 0.9958 0.9932 
0.00698 0.9946 0.9970 0.9937 0.9954 0.9934 0.9930 0.9951 0.9958 0.9931 
0.00708 0.9946 0.9969 0.9936 0.9953 0.9933 0.9930 0.9950 0.9957 0.9930 
0.00717 0.9945 0.9969 0.9935 0.9952 0.9932 0.9929 0.9950 0.9956 0.9929 
0.00727 0.9944 0.9968 0.9934 0.9952 0.9931 0.9928 0.9949 0.9956 0.9928 
0.00736 0.9943 0.9968 0.9933 0.9951 0.9930 0.9927 0.9948 0.9955 0.9927 
0.00746 0.9943 0.9968 0.9932 0.9951 0.9929 0.9926 0.9948 0.9955 0.9926 
0.00755 0.9942 0.9967 0.9931 0.9950 0.9928 0.9925 0.9947 0.9954 0.9925 
0.00764 0.9941 0.9967 0.9931 0.9949 0.9927 0.9924 0.9946 0.9954 0.9925 
0.00774 0.9941 0.9966 0.9930 0.9949 0.9926 0.9923 0.9946 0.9953 0.9924 
0.00783 0.9940 0.9966 0.9929 0.9948 0.9926 0.9922 0.9945 0.9952 0.9923 
0.00793 0.9939 0.9965 0.9928 0.9947 0.9925 0.9921 0.9944 0.9952 0.9922 
0.00802 0.9938 0.9965 0.9927 0.9947 0.9924 0.9920 0.9944 0.9951 0.9921 
0.00812 0.9938 0.9965 0.9926 0.9946 0.9923 0.9919 0.9943 0.9951 0.9920 
0.00821 0.9937 0.9964 0.9925 0.9946 0.9922 0.9918 0.9942 0.9950 0.9919 
0.00831 0.9936 0.9964 0.9925 0.9945 0.9921 0.9917 0.9942 0.9950 0.9918 
0.00840 0.9935 0.9963 0.9924 0.9944 0.9920 0.9916 0.9941 0.9949 0.9917 
0.00849 0.9935 0.9963 0.9923 0.9944 0.9919 0.9915 0.9940 0.9948 0.9916 
0.00859 0.9934 0.9963 0.9922 0.9943 0.9918 0.9915 0.9940 0.9948 0.9915 
0.00868 0.9933 0.9962 0.9921 0.9942 0.9918 0.9914 0.9939 0.9947 0.9914 
0.00878 0.9933 0.9962 0.9920 0.9942 0.9917 0.9913 0.9938 0.9947 0.9913 
0.00887 0.9932 0.9961 0.9919 0.9941 0.9916 0.9912 0.9938 0.9946 0.9912 
0.00897 0.9931 0.9961 0.9919 0.9941 0.9915 0.9911 0.9937 0.9946 0.9911 
