"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.00000 0.0000 0.0000
0.00009 0.4705 0.5924
0.00019 0.4838 0.6063
0.00028 0.4876 0.6069
0.00038 0.4857 0.6094
0.00047 0.5033 0.6183
0.00057 0.5254 0.6448
0.00066 0.5299 0.6505
0.00076 0.5299 0.6549
0.00085 0.5299 0.6562
0.00094 0.5311 0.6537
0.00104 0.5343 0.6587
0.00113 0.5324 0.6600
0.00123 0.5343 0.6606
0.00132 0.5343 0.6612
0.00142 0.5368 0.6606
0.00151 0.5368 0.6619
0.00160 0.5368 0.6619
0.00170 0.5368 0.6606
0.00179 0.5374 0.6631
0.00189 0.5381 0.6619
0.00198 0.5374 0.6631
0.00208 0.5381 0.6625
0.00217 0.5374 0.6631
0.00227 0.5381 0.6619
0.00236 0.5374 0.6638
0.00245 0.5381 0.6619
0.00255 0.5387 0.6619
0.00264 0.5393 0.6638
0.00274 0.5400 0.6631
0.00283 0.5444 0.6650
0.00293 0.5412 0.6638
0.00302 0.5501 0.6657
0.00311 0.5671 0.6720
0.00321 0.5513 0.6732
0.00330 0.5501 0.6739
0.00340 0.5532 0.6758
0.00349 0.5545 0.6764
0.00359 0.5627 0.6751
0.00368 0.5703 0.6789
0.00378 0.5861 0.6840
0.00387 0.5848 0.6871
0.00396 0.6012 0.6953
0.00406 0.6038 0.6991
0.00415 0.6120 0.7042
0.00425 0.6094 0.7042
0.00434 0.5962 0.7073
0.00444 0.6063 0.7105
0.00453 0.6246 0.7143
0.00462 0.6196 0.7155
0.00472 0.5918 0.7168
0.00481 0.5974 0.7162
0.00491 0.5981 0.7187
0.00500 0.6050 0.7174
0.00510 0.6158 0.7212
0.00519 0.6423 0.7212
0.00529 0.6417 0.7225
0.00538 0.6505 0.7219
0.00547 0.6442 0.7244
0.00557 0.6290 0.7288
0.00566 0.6341 0.7301
0.00576 0.6593 0.7320
0.00585 0.6644 0.7364
0.00595 0.6827 0.7377
0.00604 0.6827 0.7440
0.00613 0.6947 0.7478
0.00623 0.6726 0.7484
0.00632 0.6966 0.7522
0.00642 0.6960 0.7515
0.00651 0.6991 0.7547
0.00661 0.6985 0.7553
0.00670 0.7042 0.7579
0.00680 0.7048 0.7579
0.00689 0.6808 0.7598
0.00698 0.6328 0.7616
0.00708 0.6347 0.7598
0.00717 0.6341 0.7629
0.00727 0.6467 0.7629
0.00736 0.6524 0.7629
0.00746 0.6814 0.7654
0.00755 0.6941 0.7654
0.00764 0.6524 0.7692
0.00774 0.6587 0.7680
0.00783 0.6379 0.7699
0.00793 0.6480 0.7711
0.00802 0.6366 0.7699
0.00812 0.6454 0.7699
0.00821 0.6391 0.7724
0.00831 0.6410 0.7699
0.00840 0.6385 0.7699
0.00849 0.6537 0.7699
0.00859 0.6524 0.7724
0.00868 0.6480 0.7717
0.00878 0.6398 0.7699
0.00887 0.6423 0.7730
0.00897 0.6410 0.7730
0.00906 0.6398 0.7705
0.00915 0.6410 0.7718
0.00925 0.6410 0.7711
0.00934 0.6461 0.7711
0.00944 0.6524 0.7730
0.00953 0.6473 0.7730
0.00963 0.6562 0.7730
0.00972 0.6934 0.7736
0.00982 0.6669 0.7762
0.00991 0.6568 0.7768
0.01000 0.6511 0.7774
0.01010 0.6492 0.7781
0.01019 0.6587 0.7768
0.01029 0.6467 0.7774
0.01038 0.6480 0.7787
0.01048 0.6537 0.7800
0.01057 0.6688 0.7793
0.01066 0.7067 0.7819
0.01076 0.6846 0.7831
0.01085 0.6600 0.7844
0.01095 0.6682 0.7850
0.01104 0.6593 0.7863
0.01114 0.6555 0.7850
0.01123 0.6644 0.7850
0.01133 0.6739 0.7875
0.01142 0.6985 0.7869
0.01151 0.6960 0.7894
