"number" "dsum" "count" "missing" "quant_error" "fname"
0 4.88089e+07 169530 281378 0.195121 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp1.tif"
1 8.59463e+07 169530 281378 0.00607519 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp2.tif"
2 4.11524e+07 169530 281378 0.12281 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp3.tif"
3 5.65139e+07 169530 281378 0.11653 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp4.tif"
4 3.92891e+07 169530 281378 0.0759589 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp5.tif"
5 3.75090e+07 169530 281378 0.0988696 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp6.tif"
6 5.3323e+07 169530 281378 0.232457 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp7.tif"
7 6.12849e+07 169530 281378 0.045916 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp8.tif"
8 3.7758e+07 169530 281378 0.00962399 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp9.tif"
9 4.67762e+07 169386 281522 0.225869 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp1_futureM.tif"
10 8.87293e+07 169386 281522 0.00831761 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp2_futureM.tif"
11 4.13531e+07 169386 281522 0.110818 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp3_futureM.tif"
12 5.67009e+07 169386 281522 0.112050 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp4_futureM.tif"
13 3.86333e+07 169386 281522 0.127205 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp5_futureM.tif"
14 3.74677e+07 169386 281522 0.198511 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp6_futureM.tif"
15 4.6153e+07 169386 281522 0.29725 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp7_futureM.tif"
16 6.70851e+07 169386 281522 0.0360331 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp8_futureM.tif"
17 3.79003e+07 169386 281522 0.0200255 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp9_futureM.tif"
18 4.88089e+07 169530 281378 0.195121 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp1.tif"
19 8.59463e+07 169530 281378 0.00607519 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp2.tif"
20 4.11524e+07 169530 281378 0.12281 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp3.tif"
21 5.65139e+07 169530 281378 0.11653 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp4.tif"
22 3.92891e+07 169530 281378 0.0759589 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp5.tif"
23 3.75090e+07 169530 281378 0.0988696 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp6.tif"
24 5.3323e+07 169530 281378 0.232457 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp7.tif"
25 6.12849e+07 169530 281378 0.045916 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp8.tif"
26 3.7758e+07 169530 281378 0.00962399 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp9.tif"
27 4.67762e+07 169386 281522 0.225869 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp1_futureM.tif"
28 8.87293e+07 169386 281522 0.00831761 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp2_futureM.tif"
29 4.13531e+07 169386 281522 0.110818 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp3_futureM.tif"
30 5.67009e+07 169386 281522 0.112050 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp4_futureM.tif"
31 3.86333e+07 169386 281522 0.127205 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp5_futureM.tif"
32 3.74677e+07 169386 281522 0.198511 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp6_futureM.tif"
33 4.6153e+07 169386 281522 0.29725 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp7_futureM.tif"
34 6.70851e+07 169386 281522 0.0360331 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp8_futureM.tif"
35 3.79003e+07 169386 281522 0.0200255 "C:\Users\thiagoca\OneDrive - University of Helsinki\Zonation\zonation_workflow\data\sp9_futureM.tif"
